feature,importance
worst concave points,0.15895475500596873
worst area,0.14696233622157256
worst perimeter,0.08579302142031736
worst radius,0.07895238686084959
mean radius,0.07771417910601874
mean perimeter,0.07423416555742778
mean concave points,0.06586900985022048
mean concavity,0.05428077773218089
mean area,0.04165666846720783
worst concavity,0.03136222381434317
worst compactness,0.024984953422398305
area error,0.01993640231835986
worst smoothness,0.014164149065360622
worst texture,0.013599422027563854
mean compactness,0.013177087501046783
worst symmetry,0.012647269704837705
radius error,0.011605034339104956
worst fractal dimension,0.009073380697212894
mean smoothness,0.008625348686070098
perimeter error,0.008539668504838924
mean texture,0.008157944252160834
fractal dimension error,0.0061451886479421645
smoothness error,0.005792352171134484
compactness error,0.005753641119096849
concavity error,0.0049687386420475994
symmetry error,0.0040080527923604375
mean symmetry,0.003980392365155128
texture error,0.0036988005395277384
concave points error,0.003363411047327768
mean fractal dimension,0.0019992381203460937
